longitude,latitude,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,target
24.75,38.25,21.0,832.0,460.0,0.0,0.647999987,209.5973053,38.93717575,14.45142078,35.61989975,19.43551445,0.0,0.0
25.25,37.25,20.0,136.0,60.0,0.0,0.646999979,237.9837341,38.92006302,17.30270195,38.23471451,19.86789131,0.0,0.0
30.25,32.75,168.0,2485.0,2064.0,1559.0,0.600999978,179.7042236,38.70207214,14.18485069,39.1354332,22.17124176,0.0,0.0
34.25,32.25,71.0,1408.0,1104.0,390.0,1.936999965,182.7128296,38.74437332,14.32128525,38.69574356,23.02026558,0.0,0.0
34.75,32.25,17.0,1084.0,242.0,0.0,14.68299981,228.2523956,39.09767914,20.28324318,38.58721161,23.06228447,0.0,0.0
31.25,34.25,153.0,2710.0,2526.0,2427.0,0.641999999,178.8013153,38.73551941,13.94049168,39.19515991,22.03812408,0.0,0.0
34.75,34.25,115.0,2084.0,1979.0,1612.0,0.768000027,179.2404785,38.74503326,14.31497765,39.1098671,22.75032806,0.0,0.0
35.25,33.75,22.0,1781.0,1284.0,0.0,4.650000017,182.4539185,38.75016022,14.33937645,39.0141716,23.03297424,0.0,0.0
32.75,35.25,14.0,1705.0,609.0,0.0,1.164000016,233.3946381,39.06909943,18.03329849,39.25348663,22.37095833,0.0,0.0
30.75,36.75,15.0,1891.0,587.0,0.0,8.601999842,183.6715088,38.74365616,14.27280045,39.20905685,22.585186,0.0,0.0
35.25,35.25,68.0,1577.0,1218.0,943.0,0.838999986,180.8222961,38.75684357,14.33243942,39.1516304,22.70296097,0.0,0.0
35.75,35.25,21.0,1447.0,863.0,0.0,1.221999992,182.9871826,38.77618408,14.34902287,39.12387085,22.81326485,0.0,0.0
127.25,34.25,22.0,62.0,5.0,0.0,8.139999583,252.1906281,33.74410629,16.49688721,30.98016739,17.50382614,0.0,0.0
127.75,39.75,17.0,301.0,44.0,0.0,16.92399941,251.5534668,33.85765457,9.02740097,33.02283478,13.27344036,0.0,0.0
130.75,30.75,24.0,296.0,141.0,0.0,10.5229998,196.0614166,34.64956665,21.26626587,34.1921196,23.58418846,0.0,0.0
131.25,30.75,23.0,1658.0,337.0,0.0,10.88500023,186.7889709,34.69311905,20.17499733,34.20721817,24.01778984,0.0,0.0
131.25,31.25,22.0,767.0,100.0,0.0,14.2620001,197.1928864,34.68038559,21.46071053,34.11408997,23.26579475,0.0,0.0
132.25,32.75,70.0,1484.0,350.0,1.0,14.42299969,163.4547577,34.54317093,14.1281271,34.1622467,22.54836273,0.0,0.0
131.25,33.75,16.0,132.0,40.0,0.0,24.75799993,231.8412781,33.99514008,19.73271179,33.80602264,19.44242859,0.0,0.0
132.25,33.75,21.0,201.0,35.0,0.0,19.33700033,209.2085876,34.4727478,20.85876465,34.04475021,19.04648972,0.0,0.0
132.75,33.75,7.0,99.0,17.0,0.0,25.7645268,215.4467621,34.39231873,20.78935623,33.95664215,20.13360405,0.0,0.0
134.25,33.25,21.0,1200.0,519.0,0.0,14.95500002,81.38839722,34.3386879,4.376592159,34.25247574,22.82674026,0.0,0.0
130.75,34.25,21.0,117.0,56.0,0.0,15.87699912,217.3527374,34.36676788,17.94367981,33.74873352,19.70680237,0.0,0.0
134.75,34.25,17.0,134.0,26.0,0.0,33.13799948,232.6685944,34.10019302,20.91976929,33.12557602,20.06162453,0.0,0.0
136.25,33.75,21.0,2147.0,1129.0,0.0,21.51899971,105.1110229,34.60467911,1.91032505,34.12245941,21.38286781,0.0,0.0
137.25,34.75,13.0,335.0,38.0,0.0,63.03299963,229.6269379,34.10063553,21.03931046,32.89438248,20.14094353,0.0,0.0
139.25,34.75,20.0,1618.0,468.0,0.0,28.22400071,149.5024414,34.36856079,10.64580727,33.96829224,20.58400726,0.0,0.0
130.25,35.75,90.0,1478.0,876.0,101.0,8.731000125,196.6163788,34.06361008,-0.049196001,33.03458023,18.72448158,0.0,0.0
132.75,35.25,4.0,126.0,48.0,0.0,19.50022206,228.1578827,34.18577194,15.42070293,33.53777313,19.21780586,0.0,0.0
132.75,36.25,22.0,1171.0,419.0,0.0,7.930999622,232.7563019,34.05524445,1.994514942,33.4797821,18.76725769,0.0,0.0
130.25,39.75,148.0,2572.0,2064.0,1295.0,4.470000044,194.7196808,34.0755806,-0.155753002,33.59590912,13.98099995,0.0,0.0
139.75,35.25,15.0,1056.0,172.0,0.0,62.42100149,217.8048401,34.42194366,18.4869175,33.2385025,19.89906311,0.0,0.0
136.75,36.75,10.0,223.0,78.0,0.0,21.86630107,224.5384521,34.08840942,3.759049177,33.33626938,18.26776695,0.0,0.0
140.25,34.75,91.0,3480.0,2130.0,1.0,17.20999926,117.3289871,34.63419342,1.445955038,34.29777527,21.65654182,0.0,0.0
140.75,36.25,18.0,438.0,150.0,0.0,39.59999979,213.9001923,34.24137878,13.35054588,33.62684631,18.39844513,0.0,0.0
143.75,37.25,252.0,7750.0,7119.0,6131.0,9.782999754,162.8378448,34.68863297,1.066414952,34.15117264,19.05708504,0.0,0.0
141.25,38.25,18.0,203.0,55.0,0.0,24.46400002,251.3174896,33.85317993,11.76305389,33.11563492,15.36251068,0.0,0.0
